tarih,platform,metin,etkilesim
2026-06-12 10:02:55,Telegram,"Epic Games'in bu hafta ücretsiz vereceği yeni oyun ""The Ouroboros King"" oldu.",1453
2026-06-12 08:40:19,Telegram,"Zorunlu trafik sigortasında yeni dönem başlıyor!

📌 1 Temmuz 2026’dan itibaren zorunlu trafik sigortasında kaza sonrası değer kaybı süreci otomatikleşiyor. Araçtaki hasarı eksper inceleyecek, değer kaybını hesaplayıp sisteme işleyecek; sigorta şirketi de ödemeyle ilgili bilgiyi e-Devlet, SMS veya mobil uygulama üzerinden bildirecek.

📌 Ayrıca tamir edilemeyen parçalar için orijinal parça kullanımı esas olacak. Sigorta şirketi eşdeğer parça kullanmak isterse, bunun orijinal kadar kaliteli ve güvenli olduğunu kanıtlamak zorunda kalacak.",1532
2026-06-12 07:25:32,Telegram,"Bursa'da üretilecek Renault Boreal'in Türkiye fiyatları açıklandı!

📌 Boreal; 4,56 metre uzunluk, 630 litre bagaj, 19 inçe kadar jant, LED farlar ve SUV tasarımıyla geliyor. Motor seçenekleri ise 145 bg 1.3 TCe EDC ve 160 bg 1.8 E-Tech hibrit olacak.

📌 İç mekânda iki adet 10 inç ekran, OpenR Link sistemi, 10 hoparlörlü ses sistemi, 48 renk ambiyans aydınlatması, panoramik cam tavan ve 25 sürüş destek sistemi gibi donanımlar yer alıyor.

1.3 TCe Evolution: 2.194.000 TL
1.3 TCe Techno: 2.269.000 TL
1.3 TCe Iconic: 2.860.000 TL
1.8 Hybrid Iconic: 3.399.000 TL",1375
2026-06-11 15:16:31,Telegram,"TRT,  maliyetlerden dolayı 2026 Dünya Kupası’nda 4K yayın yapmayacak.
4K yayın için ek uydu kapasitesi, daha fazla bant genişliği ve teknik altyapı yatırımı gerekiyor. 
Ayrıca turnuvadaki maç sayısı 64’ten 104’e çıktığı için yayın süresi ve masraflar da artıyor. Bu nedenle Türkiye dahil birçok Avrupa ülkesi maçları Full HD yayınlayacak.
Avrupa’da yalnızca Almanya, İngiltere, Fransa, İtalya, Avusturya ve İspanya 4K yayın sunacak.",1983
2026-06-11 13:11:59,Telegram,"Battlefield 6, 3. sezonuna özel bir haftalığına ücretsiz oldu.

📌 PC veya konsolunuza oyunun ücretsiz modu olan Battlefield REDSEC’i indirmek gerekiyor.",1527
2026-06-11 11:35:38,Telegram,"2026 FIFA Dünya Kupası YouTube'dan da izlenebilecek!

📌 Turnuva YouTube'da; ücretsiz kısa canlı yayınlar, maç özetleri ve özel içeriklerle takip edilebilecek.

📌 FIFA’nın yayın ortakları BBC, Fox Sports ve Telemundo gibi kanallar, maçların ilk 10 dakikasını YouTube kanallarında ücretsiz canlı yayınlayacak.

📌 Brezilya’da CazéTV tüm maçları, Portekiz’de LiveModeTV ise Portekiz millî takımının maçlarını ücretsiz gösterecek.

📌 YouTube TV ve Primetime Channels üzerinden çoklu ekran özelliğiyle aynı anda birden fazla maç izlenebilecek. Maç kaçıranlar ise goller, özetler ve önemli anları YouTube Shorts ve özel videolarla takip edebilecek.",1478
2026-06-11 10:41:02,Telegram,"Sanayi ve Teknoloji Bakanlığı, BYD'nin fabrika yatırımını askıya almasının ardından bir açıklama yayımladı.

Açıklamada, fabrikanın kurulum sürecindeki yavaş ilerleme nedeniyle şirkete sağlanan teşviklerin, 2026 yılının başından itibaren gümrüksüz araç satışı hakkı da dahil olmak üzere durdurulduğu belirtildi.

Bakanlık ayrıca, yatırımın tamamen iptal edilmesi halinde BYD'nin bugüne kadar yararlandığı teşvikleri geri ödemekle yükümlü olacağını bildirdi.",1320
2026-06-11 09:58:56,Telegram,"Instagram, Reels ve Keşfet’teki algoritma özelleştirme sistemini ana akışa da getiriyor. 

📌 Şu an kullanıcılar ilgi alanı konularını düzenleyebiliyor; ileride belirli kişiler, içerik türleri veya “vibe” tercihleri de eklenebilecek.

📌 Instagram CEO'su Adam Mosseri'ye göre amaç, kullanıcıların öneriler üzerinde daha fazla kontrol sahibi olması. 

📌 Eskiden algoritma sadece kullanıcı davranışlarından öğreniyordu; artık yapay zekâ sayesinde sistemin hangi ilgi alanlarını çıkardığı anlaşılır şekilde gösterilebilecek ve kullanıcılar doğrudan ne görmek istediklerini söyleyebilecek.",1212
2026-06-11 07:45:53,Telegram,"Matematik öğretmeni Mustafa Güler, X'te görüntüsünü izinsiz kullanan Netflix ile girdiği davayı kazandı.

Mustafa Güler, mahkeme kararıyla Netflix'ten 2 milyon TL'lik tazminat alacak.",1352
2026-06-11 06:45:11,Telegram,"YouTube Premium Türkiye fiyatlarına %60'a varan zam geldi! 🚨 

Bireysel: 79,99 TL ➡️ 119,99 TL
Aile: 159,99 TL➡️ 239,99 TL
Öğrenci: 52,99 TL ➡️ 79,99 TL
Lite: 49,99 TL ➡️ 79,99 TL",1465
2026-06-10 14:41:34,Telegram,"BYD'nin yatırımdan vazgeçtiği Manisa'daki arazi Nepalli motor üreticisine tahsis edildi!

Yeni yatırımın motor ve güç aktarma sistemleri üretimine odaklanması bekleniyor. Yetkililerin yatırımın kapsamı, kapasitesi ve istihdam hedefleriyle ilgili detayları yakında açıklaması bekleniyor. 

BYD'nin 2024'te duyurduğu fabrika projesi ise somut ilerleme sağlanamadığı için rafa kaldırılmış durumda.",2024
2026-06-10 13:06:36,Telegram,"WhatsApp, kasım ayı itibarıyla iOS 15.5 ve altı sürüme sahip iPhone’lara desteği kesecek.",1253
2026-06-10 12:16:41,Telegram,"15 yaş altındaki kullanıcıların sosyal medya erişimini sınırlandıran düzenlemenin ardından ilk adım Roblox’tan geldi.

📌 2 yıl önce Türkiye’de erişime kapatılan oyun platformuna ebeveyn kontrol paneli eklendi. Bu uygulamanın hayata geçirildiği ilk platformlardan biri olan Roblox’ta, artık 15 yaşın altındaki kullanıcıların erişimine izin verilmeyecek. 

📌 Roblox’un Türkiye’de temsilcilik açma şartını yerine getirmesinin ardından platformun yeniden erişime açılması bekleniyor.",1217
2026-06-10 10:04:35,Telegram,"🚨 Güvenlik riskleri nedeniyle ""halka"" açılmayan yapay zeka modeli kullanıma sunuluyor!

📌 Anthropic, daha önce güvenlik endişeleri nedeniyle erişimini sınırladığı güçlü yapay zeka modeli Mythos’un daha güvenli ve geniş kullanıma uygun versiyonu Claude Fable 5’i kullanıma açmaya hazırlanıyor.

📌 Kodlama ve profesyonel görevlerde daha yüksek performans sunması beklenen model, siber güvenlik ve biyoloji gibi hassas alanlarda ek güvenlik önlemleriyle sınırlandırılacak.

📌 Şirket, riskli siber güvenlik sorgularının Claude içinde Opus 4.8 adlı farklı bir modele yönlendirileceğini; daha az kısıtlamaya sahip Mythos 5’in ise yalnızca Project Glasswing kapsamında yetkilendirilen kuruluşlara açılacağını duyurdu.",1194
